Date,1 mo,2 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
08/01/18,1.93,N/A ,2.03,2.22,2.45,2.67,2.78,2.87,2.96,3.00,3.07,3.13
08/02/18,1.89,N/A ,2.02,2.22,2.45,2.66,2.76,2.85,2.93,2.98,3.06,3.12
08/03/18,1.90,N/A ,2.01,2.23,2.43,2.63,2.74,2.82,2.91,2.95,3.03,3.09
08/06/18,1.92,N/A ,2.05,2.23,2.44,2.64,2.73,2.80,2.89,2.94,3.02,3.08
08/07/18,1.96,N/A ,2.06,2.23,2.45,2.68,2.76,2.84,2.92,2.98,3.06,3.12
08/08/18,1.93,N/A ,2.06,2.24,2.44,2.68,2.77,2.83,2.92,2.96,3.05,3.12
08/09/18,1.91,N/A ,2.06,2.25,2.44,2.64,2.74,2.80,2.89,2.93,3.01,3.08
08/10/18,1.92,N/A ,2.05,2.23,2.42,2.61,2.68,2.75,2.82,2.87,2.96,3.03
08/13/18,1.93,N/A ,2.06,2.22,2.42,2.61,2.68,2.75,2.82,2.88,2.97,3.05
08/14/18,1.96,N/A ,2.08,2.25,2.44,2.63,2.71,2.77,2.84,2.89,2.98,3.06
08/15/18,1.96,N/A ,2.07,2.23,2.45,2.61,2.68,2.73,2.81,2.86,2.95,3.03
08/16/18,1.96,N/A ,2.07,2.24,2.45,2.63,2.70,2.75,2.82,2.87,2.95,3.03
08/17/18,1.95,N/A ,2.05,2.24,2.44,2.61,2.68,2.75,2.82,2.87,2.95,3.03
08/20/18,1.93,N/A ,2.06,2.25,2.43,2.60,2.65,2.70,2.77,2.82,2.91,2.99
08/21/18,1.94,N/A ,2.08,2.25,2.45,2.61,2.67,2.73,2.80,2.85,2.93,3.00
08/22/18,1.95,N/A ,2.09,2.24,2.43,2.60,2.65,2.70,2.77,2.82,2.91,2.99
08/23/18,1.94,N/A ,2.08,2.23,2.43,2.61,2.66,2.72,2.78,2.82,2.90,2.97
08/24/18,1.95,N/A ,2.09,2.25,2.44,2.63,2.68,2.72,2.78,2.82,2.89,2.97
08/27/18,1.96,N/A ,2.12,2.25,2.47,2.67,2.70,2.74,2.81,2.85,2.92,3.00
08/28/18,1.96,N/A ,2.13,2.28,2.47,2.67,2.73,2.77,2.84,2.88,2.96,3.03
08/29/18,1.97,N/A ,2.13,2.28,2.48,2.67,2.75,2.78,2.85,2.89,2.96,3.02
08/30/18,1.97,N/A ,2.11,2.28,2.47,2.64,2.72,2.75,2.82,2.86,2.93,3.00
08/31/18,1.95,N/A ,2.11,2.28,2.46,2.62,2.70,2.74,2.81,2.86,2.95,3.02
09/04/18,2.00,N/A ,2.13,2.29,2.49,2.66,2.73,2.78,2.85,2.90,2.99,3.07
09/05/18,2.00,N/A ,2.14,2.30,2.49,2.66,2.72,2.77,2.85,2.90,3.00,3.08
09/06/18,1.98,N/A ,2.13,2.30,2.50,2.64,2.71,2.76,2.83,2.88,2.98,3.06
09/07/18,1.98,N/A ,2.14,2.30,2.53,2.71,2.78,2.82,2.89,2.94,3.03,3.11
09/10/18,1.98,N/A ,2.14,2.32,2.54,2.73,2.78,2.83,2.89,2.94,3.02,3.09
09/11/18,2.02,N/A ,2.15,2.31,2.55,2.76,2.83,2.87,2.94,2.98,3.06,3.13
09/12/18,2.01,N/A ,2.16,2.33,2.56,2.74,2.82,2.87,2.93,2.97,3.04,3.11
09/13/18,2.01,N/A ,2.15,2.33,2.55,2.76,2.83,2.87,2.93,2.97,3.04,3.11
09/14/18,2.02,N/A ,2.16,2.33,2.56,2.78,2.85,2.90,2.96,2.99,3.07,3.13
09/17/18,2.02,N/A ,2.16,2.35,2.57,2.78,2.85,2.89,2.96,2.99,3.07,3.13
09/18/18,2.05,N/A ,2.17,2.36,2.58,2.81,2.88,2.94,3.01,3.05,3.14,3.20
09/19/18,2.03,N/A ,2.16,2.36,2.58,2.81,2.89,2.96,3.04,3.08,3.16,3.23
09/20/18,2.03,N/A ,2.17,2.37,2.58,2.81,2.89,2.96,3.03,3.07,3.15,3.21
09/21/18,2.05,N/A ,2.18,2.38,2.58,2.81,2.89,2.95,3.03,3.07,3.14,3.20
09/24/18,2.07,N/A ,2.22,2.38,2.60,2.83,2.89,2.96,3.04,3.08,3.15,3.21
09/25/18,2.12,N/A ,2.21,2.38,2.59,2.83,2.91,2.99,3.06,3.10,3.17,3.23
09/26/18,2.11,N/A ,2.20,2.37,2.58,2.83,2.89,2.96,3.02,3.06,3.14,3.19
09/27/18,2.10,N/A ,2.18,2.37,2.58,2.83,2.89,2.96,3.02,3.06,3.13,3.19
09/28/18,2.12,N/A ,2.19,2.36,2.59,2.81,2.88,2.94,3.01,3.05,3.13,3.19
